z_mm,p_abs_Pa
0.0500,0.077159
0.1539,0.077312
0.2666,0.077358
0.3891,0.077262
0.5222,0.076980
0.6668,0.076463
0.8239,0.075654
0.9946,0.074489
1.1801,0.072901
1.3816,0.070824
1.6006,0.068198
1.8385,0.064990
2.0969,0.061210
2.3778,0.056951
2.6830,0.052451
3.0145,0.048181
3.3748,0.044940
3.7662,0.043824
4.1915,0.045850
4.6535,0.051340
5.1556,0.059780
5.7011,0.070236
6.2938,0.081665
6.9378,0.092892
7.6375,0.102393
8.3977,0.108177
9.2238,0.107907
10.1213,0.099430
11.0964,0.081872
12.1559,0.057205
13.3071,0.037377
14.5580,0.055262
15.9121,0.098613
17.3251,0.141585
18.7385,0.171048
20.1519,0.184053
21.5652,0.181901
22.9786,0.165664
24.3920,0.138147
25.8054,0.107510
27.2187,0.084534
28.6321,0.074841
30.0455,0.072442
31.4589,0.065651
32.8722,0.049283
34.2856,0.030348
35.6990,0.036961
37.1124,0.073418
38.5257,0.119548
39.9391,0.163596
41.3525,0.198746
42.7659,0.224526
44.1792,0.240743
45.5926,0.244160
47.0060,0.234306
48.4194,0.216470
49.8327,0.196229
51.2461,0.176241
52.6595,0.159964
54.0729,0.152449
55.4862,0.155506
56.8996,0.164667
58.3130,0.172419
59.7264,0.174935
61.1397,0.173396
62.5531,0.167492
63.9665,0.153867
65.3798,0.133226
66.7932,0.110770
68.2066,0.087690
69.6200,0.061889
71.0333,0.038309
72.4467,0.028345
73.8601,0.032315
75.2735,0.044155
76.6868,0.057783
78.1002,0.065700
79.5136,0.067991
80.9270,0.068779
82.3403,0.066571
83.7537,0.058474
85.1671,0.047649
86.5805,0.038112
87.9938,0.028770
89.4072,0.020659
90.8206,0.019843
92.2340,0.026488
93.6473,0.037285
95.0607,0.047392
96.4741,0.053171
97.8875,0.057427
99.3008,0.062655
100.7142,0.064562
102.1276,0.061431
103.5410,0.058258
104.9543,0.055811
106.3677,0.049082
107.7811,0.039427
109.1945,0.032453
110.6078,0.025292
112.0212,0.014438
113.4346,0.009697
114.8480,0.013767
116.2613,0.018926
117.6747,0.029240
119.0881,0.038536
120.5014,0.043438
121.9148,0.049120
123.3282,0.056349
124.7416,0.059419
126.1549,0.059060
127.5683,0.060552
128.9817,0.061687
130.3951,0.058056
131.8084,0.052907
133.2218,0.050136
134.6352,0.045914
136.0486,0.037714
137.4619,0.029773
138.8753,0.024824
140.2887,0.020276
141.7021,0.016892
143.1154,0.017789
144.5288,0.023786
145.9422,0.033891
147.3556,0.043269
148.7689,0.049816
150.1823,0.057978
151.5957,0.069145
153.0091,0.077842
154.4224,0.083435
155.8358,0.091567
157.2492,0.101502
158.6626,0.107378
160.0759,0.110925
161.4893,0.117544
162.9027,0.124035
164.3161,0.125591
165.7294,0.126259
167.1428,0.130104
168.5562,0.132268
169.9696,0.129916
171.3829,0.128554
172.7963,0.130250
174.2097,0.129319
175.6231,0.125053
177.0364,0.123515
178.4498,0.124498
179.8632,0.122105
181.2765,0.117861
182.6899,0.117655
184.1033,0.118732
185.5167,0.115841
186.9300,0.112861
188.3434,0.114378
189.7568,0.115446
191.1702,0.112736
192.5835,0.111835
193.9969,0.115168
195.4103,0.116958
196.8237,0.116091
198.2370,0.118440
199.6504,0.124395
201.0638,0.128144
202.4772,0.129696
203.8905,0.134532
205.3039,0.141973
206.7173,0.146237
208.1307,0.147878
209.5440,0.152412
210.9574,0.158910
212.3708,0.161846
213.7842,0.162054
215.1975,0.164853
216.6109,0.169685
218.0243,0.171681
219.4377,0.170961
220.8510,0.172191
222.2644,0.176239
223.6778,0.178766
225.0912,0.178090
226.5045,0.178605
227.9179,0.183094
229.3313,0.187161
230.7447,0.187552
232.1580,0.188415
233.5714,0.193263
234.9848,0.198407
236.3982,0.200346
237.8115,0.201199
239.2249,0.204067
240.6383,0.208423
242.0516,0.211200
243.4650,0.210822
244.8784,0.210084
246.2918,0.212309
247.7051,0.215081
249.1185,0.214469
250.5319,0.212356
251.9453,0.212756
253.3586,0.215188
254.7720,0.216916
256.1854,0.216972
257.5988,0.216550
259.0121,0.218170
260.4255,0.222083
261.8389,0.224904
263.2523,0.225230
264.6656,0.225869
266.0790,0.228617
267.4924,0.232189
268.9058,0.234980
270.3191,0.236195
271.7325,0.236756
273.1459,0.238954
274.5593,0.242653
275.9726,0.245365
277.3860,0.246506
278.7994,0.247180
280.2128,0.247949
281.6261,0.249308
283.0395,0.250894
284.4529,0.250917
285.8663,0.249134
287.2796,0.247137
288.6930,0.245246
290.1064,0.242961
291.5198,0.240412
292.9331,0.237110
294.3465,0.232699
295.7599,0.228171
297.1733,0.223915
298.5866,0.219270
300.0000,0.214970
