z_mm,p_abs_Pa
280.1864,0.326806
280.7525,0.324740
281.3186,0.328586
281.8846,0.325875
282.4507,0.328398
283.0167,0.321372
283.5828,0.319796
284.1489,0.311330
284.7149,0.309209
285.2810,0.304289
285.8471,0.306075
286.4131,0.304012
286.9792,0.308056
287.5453,0.303709
288.1113,0.305247
288.6774,0.296989
289.2434,0.295083
289.8095,0.286563
290.3756,0.284790
290.9416,0.279492
291.5077,0.280836
292.0738,0.277387
292.6398,0.280202
293.2059,0.274584
293.7719,0.274908
294.3380,0.265864
294.9041,0.262685
295.4701,0.253457
296.0362,0.250249
296.6023,0.244424
297.1683,0.244209
297.7344,0.240384
298.3005,0.241243
298.8665,0.235442
299.4326,0.234009
299.9986,0.225637
300.5647,0.221583
301.1308,0.213494
301.6968,0.209196
302.2629,0.203840
302.8290,0.201692
303.3950,0.198636
303.9611,0.198405
304.5272,0.194871
305.0932,0.193692
305.6593,0.187820
306.2253,0.184082
306.7914,0.177649
307.3575,0.173504
307.9235,0.169632
308.4896,0.167738
309.0557,0.166115
309.6217,0.165947
310.1878,0.163881
310.7538,0.163572
311.3199,0.159941
311.8860,0.158411
312.4520,0.153783
313.0181,0.151083
313.5842,0.146896
314.1502,0.144734
314.7163,0.142356
315.2824,0.142161
315.8484,0.140580
316.4145,0.140988
316.9805,0.137957
317.5466,0.137199
318.1127,0.132692
318.6787,0.130959
319.2447,0.126446
319.8109,0.124478
320.3764,0.120539
320.9430,0.118791
321.5078,0.115461
322.0751,0.114459
322.6384,0.111429
323.2072,0.110674
323.7678,0.106895
324.3394,0.105265
324.8941,0.100601
325.4715,0.098247
326.0149,0.093798
326.6036,0.091393
327.1230,0.087510
327.7357,0.084850
328.8679,0.078214
329.2640,0.075289
330.0000,0.071814
