z_mm,p_abs_Pa
200.1978,0.274167
200.5520,0.495204
200.9062,0.802385
201.2604,1.036882
201.6146,1.354820
201.9688,1.558018
202.3230,1.843019
202.6772,1.976808
203.0314,2.184731
203.3856,2.216378
203.7398,2.310069
204.0940,2.219119
204.4482,2.176914
204.8024,1.961601
205.1566,1.783983
205.5108,1.465313
205.8650,1.179998
206.2192,0.808472
206.5734,0.504415
206.9276,0.337367
207.2818,0.562691
207.6360,0.869296
207.9902,1.212983
208.3444,1.469942
208.6986,1.741740
209.0528,1.879008
209.4070,2.040418
209.7612,2.041425
210.1154,2.084655
210.4696,1.961242
210.8238,1.903536
211.1780,1.690327
211.5322,1.568898
211.8864,1.315877
212.2406,1.180340
212.5948,0.944146
212.9490,0.847424
213.3032,0.681037
213.6574,0.662235
214.0116,0.588202
214.3658,0.642704
214.7200,0.634058
215.0742,0.738457
215.4284,0.771716
215.7826,0.916014
216.1368,0.978165
216.4910,1.140162
216.8452,1.203912
217.1994,1.345905
217.5536,1.375572
217.9078,1.460218
218.2620,1.426979
218.6162,1.430125
218.9704,1.322915
219.3246,1.242651
219.6788,1.076972
220.0330,0.946433
220.3872,0.784755
220.7414,0.711877
221.0956,0.699790
221.4498,0.822690
221.8040,0.969637
222.1582,1.186485
222.5124,1.345823
222.8666,1.549743
223.2208,1.652156
223.5750,1.800646
223.9292,1.823950
224.2834,1.904773
224.6376,1.852092
224.9918,1.871849
225.3460,1.762529
225.7002,1.738366
226.0544,1.598312
226.4086,1.547291
226.7628,1.397195
227.1170,1.325749
227.4712,1.171972
227.8254,1.072646
228.1796,0.908422
228.5338,0.768140
228.8880,0.586123
229.2422,0.401438
229.5964,0.223549
229.9506,0.143739
230.3048,0.315795
230.6590,0.541954
231.0132,0.742742
231.3674,0.969248
231.7216,1.124344
232.0758,1.304563
232.4300,1.384507
232.7842,1.487362
233.1384,1.474125
233.4926,1.482642
233.8468,1.374160
234.2010,1.290811
234.5552,1.105607
234.9094,0.960359
235.2636,0.749578
235.6178,0.631490
235.9720,0.536824
236.3262,0.622001
236.6804,0.732355
237.0346,0.922616
237.3888,1.052806
237.7430,1.206127
238.0972,1.266882
238.4514,1.334993
238.8057,1.299732
239.1599,1.269568
239.5141,1.141738
239.8683,1.024575
240.2225,0.831290
240.5767,0.663196
240.9309,0.463909
241.2851,0.346166
241.6393,0.333487
241.9935,0.449915
242.3477,0.588918
242.7019,0.728498
243.0561,0.825261
243.4103,0.907342
243.7645,0.926945
244.1187,0.940902
244.4729,0.888658
244.8271,0.852728
245.1813,0.760394
245.5355,0.720488
245.8897,0.645823
246.2439,0.665580
246.5981,0.660851
246.9523,0.753921
247.3065,0.796779
247.6607,0.914752
248.0149,0.956574
248.3691,1.064289
248.7233,1.081403
249.0775,1.164740
249.4317,1.150464
249.7859,1.200851
250.1401,1.151786
250.4943,1.158519
250.8485,1.069636
251.2027,1.024805
251.5569,0.897342
251.9111,0.816859
252.2653,0.686989
252.6195,0.662268
252.9737,0.652373
253.3279,0.810994
253.6821,0.949955
254.0363,1.199792
254.3905,1.362599
254.7447,1.588159
255.0989,1.689845
255.4531,1.819782
255.8073,1.809143
256.1615,1.798294
256.5157,1.650946
256.8699,1.482495
