z_mm,p_abs_Pa
101.4169,0.082417
103.3060,0.084546
105.1951,0.090467
107.0842,0.094365
108.9733,0.103435
110.8624,0.118314
112.7516,0.130446
114.6407,0.143169
116.5298,0.160333
118.4189,0.174173
120.3080,0.183303
122.1971,0.194375
124.0863,0.204177
125.9754,0.206823
127.8645,0.207663
129.7536,0.209951
131.6427,0.206913
133.5318,0.198697
135.4210,0.192644
137.3101,0.186019
139.1992,0.173657
141.0883,0.162008
142.9774,0.154708
144.8665,0.144778
146.7557,0.133846
148.6448,0.129792
150.5339,0.127412
152.4230,0.122292
154.3121,0.122209
156.2013,0.126204
158.0904,0.125918
159.9795,0.125823
161.8686,0.130827
163.7577,0.132970
165.6468,0.130804
167.5360,0.132549
169.4251,0.135436
171.3142,0.132239
173.2033,0.128613
175.0924,0.129293
176.9815,0.126388
178.8707,0.118402
180.7598,0.113898
182.6489,0.111105
184.5380,0.102404
186.4271,0.092978
188.3162,0.089132
190.2054,0.083379
192.0945,0.073814
193.9836,0.070810
195.8727,0.072666
197.7618,0.071791
199.6509,0.076537
201.5401,0.090180
203.4292,0.102039
205.3183,0.113261
207.2074,0.131776
209.0965,0.151881
210.9856,0.166719
212.8748,0.182415
214.7639,0.203513
216.6530,0.222489
218.5421,0.235890
220.4312,0.251056
222.3203,0.270356
224.2095,0.286358
226.0986,0.297289
227.9877,0.310337
229.8768,0.327099
231.7659,0.340525
233.6550,0.348946
235.5442,0.359200
237.4333,0.373230
239.3224,0.384205
241.2115,0.389779
243.1006,0.396544
244.9897,0.407392
246.8789,0.416069
248.7680,0.419263
250.6571,0.422662
252.5462,0.430364
254.4353,0.437665
256.3244,0.439968
258.2136,0.440695
260.1027,0.445100
261.9918,0.451240
263.8809,0.453413
265.7700,0.451678
267.6591,0.451615
269.5483,0.454750
271.4374,0.455931
273.3265,0.452113
275.2156,0.446975
277.1047,0.444478
278.9938,0.443021
280.8830,0.438665
282.7721,0.430632
284.6612,0.422245
286.5503,0.416812
288.4394,0.412632
290.3285,0.405315
292.2177,0.395057
294.1068,0.386192
295.9959,0.380027
297.8850,0.374142
299.7741,0.366816
301.6632,0.357791
303.5524,0.348304
305.4415,0.340894
307.3306,0.335338
309.2197,0.328346
311.1088,0.319225
312.9979,0.310144
314.8871,0.301884
316.7762,0.294276
318.6653,0.287287
320.5544,0.279737
322.4435,0.271102
324.3326,0.262729
326.2218,0.255108
328.1109,0.247545
330.0000,0.240713
