case,z_max_mm,p_max_Pa,csv
N5  (f=40kHz),208.32625854678253,0.20656333513687872,step4_N5_axis.csv
N15 (f=40kHz),283.3112387446956,0.3033026728325467,step4_N15_axis.csv
N20 (f=40kHz),225.3039899123476,2.928777835966699,step4_N20_axis.csv
f30 (N=10),271.43737802917894,0.45593131880569376,step4_f30_axis.csv
f35 (N=10),268.498589103592,0.32654916861381356,step4_f35_axis.csv
f45 (N=10),236.76444887664772,0.3476946105744076,step4_f45_axis.csv
f50 (N=10),233.76923803160656,0.5407054279546089,step4_f50_axis.csv
def m=5 (N=10 f40),284.72604969182595,0.21615145371827796,step4_def5_axis.csv
step2 baseline (f40 N10),284.8110368305202,0.25180677633845616,step2_axis_ref.csv
