z_mm,p_abs_Pa
100.1789,0.034825
101.7974,0.032208
103.4159,0.032431
105.0343,0.031600
106.6528,0.025902
108.2712,0.020613
109.8897,0.022127
111.5081,0.029443
113.1266,0.036787
114.7451,0.042184
116.3635,0.051179
117.9820,0.063080
119.6004,0.069977
121.2189,0.073491
122.8374,0.081043
124.4558,0.087995
126.0743,0.088159
127.6927,0.088149
129.3112,0.092043
130.9296,0.091423
132.5481,0.085455
134.1666,0.083111
135.7850,0.081853
137.4035,0.073816
139.0219,0.064710
140.6404,0.060680
142.2589,0.053373
143.8773,0.040448
145.4958,0.031832
147.1142,0.025861
148.7327,0.013692
150.3511,0.008475
151.9696,0.014849
153.5881,0.018814
155.2065,0.030724
156.8250,0.041642
158.4434,0.045912
160.0619,0.053161
161.6803,0.064535
163.2988,0.069910
164.9173,0.072624
166.5357,0.081763
168.1542,0.090131
169.7726,0.092087
171.3911,0.097068
173.0096,0.107112
174.6280,0.111888
176.2465,0.113324
177.8649,0.120999
179.4834,0.129180
181.1018,0.130400
182.7203,0.132781
184.3388,0.141130
185.9572,0.145423
187.5757,0.144357
189.1941,0.148588
190.8126,0.156013
192.4311,0.156856
194.0495,0.156692
195.6680,0.163994
197.2864,0.170462
198.9049,0.170683
200.5233,0.174559
202.1418,0.184533
203.7603,0.189953
205.3787,0.191115
206.9972,0.198026
208.6156,0.207727
210.2341,0.210927
211.8526,0.211963
213.4710,0.219148
215.0895,0.226688
216.7079,0.227335
218.3264,0.227795
219.9448,0.234770
221.5633,0.240576
223.1818,0.239630
224.8002,0.240421
226.4187,0.247850
228.0371,0.252695
229.6556,0.251271
231.2741,0.253101
232.8925,0.261110
234.5110,0.265767
236.1294,0.264987
237.7479,0.267964
239.3663,0.276649
240.9848,0.282272
242.6033,0.282702
244.2217,0.286041
245.8402,0.295004
247.4586,0.301683
249.0771,0.302373
250.6955,0.304197
252.3140,0.311760
253.9325,0.318229
255.5509,0.318048
257.1694,0.316907
258.7878,0.321220
260.4063,0.326482
262.0248,0.325915
263.6432,0.322179
265.2617,0.322363
266.8801,0.326048
268.4986,0.326549
270.1170,0.322054
271.7355,0.318375
273.3540,0.319590
274.9724,0.321345
276.5909,0.318210
278.2093,0.312302
279.8278,0.309581
281.4463,0.310458
283.0647,0.309693
284.6832,0.304464
286.3016,0.298083
287.9201,0.295177
289.5385,0.294899
291.1570,0.292327
292.7755,0.285863
294.3939,0.279078
296.0124,0.275263
297.6308,0.273325
299.2493,0.269813
300.8678,0.263130
302.4862,0.255366
304.1047,0.249676
305.7231,0.245985
307.3416,0.241480
308.9600,0.234523
310.5785,0.225937
312.1970,0.217779
313.8154,0.211274
315.4339,0.205180
317.0523,0.197594
318.6708,0.188622
320.2893,0.179261
321.9077,0.169969
323.5262,0.161438
325.1446,0.153550
326.7631,0.144939
328.3815,0.135797
330.0000,0.127601
