z_mm,p_abs_Pa
100.8006,0.069903
102.2154,0.067601
103.6302,0.064631
105.0451,0.066199
106.4599,0.064789
107.8747,0.058757
109.2895,0.056538
110.7043,0.055736
112.1191,0.049064
113.5339,0.042515
114.9487,0.040856
116.3635,0.035346
117.7784,0.026038
119.1932,0.022469
120.6080,0.018780
122.0228,0.009932
123.4376,0.011030
124.8524,0.013848
126.2672,0.015716
127.6820,0.025769
129.0968,0.032599
130.5117,0.035378
131.9265,0.044118
133.3413,0.053270
134.7561,0.056159
136.1709,0.061563
137.5857,0.071741
139.0005,0.076566
140.4153,0.078821
141.8301,0.087232
143.2450,0.094437
144.6598,0.095296
146.0746,0.099271
147.4894,0.107037
148.9042,0.108778
150.3190,0.108340
151.7338,0.113954
153.1486,0.118041
154.5634,0.116190
155.9783,0.118043
157.3931,0.123866
158.8079,0.124023
160.2227,0.122510
161.6375,0.127270
163.0523,0.130670
164.4671,0.128102
165.8819,0.129060
167.2967,0.134273
168.7116,0.133873
170.1264,0.131428
171.5412,0.135836
172.9560,0.139723
174.3708,0.137516
175.7856,0.139283
177.2004,0.146593
178.6152,0.148428
180.0300,0.147808
181.4449,0.154602
182.8597,0.161325
184.2745,0.160998
185.6893,0.163471
187.1041,0.171864
188.5189,0.175031
189.9337,0.173814
191.3485,0.178777
192.7633,0.185538
194.1781,0.185378
195.5930,0.185023
197.0078,0.191152
198.4226,0.195426
199.8374,0.193611
201.2522,0.194627
202.6670,0.200778
204.0818,0.202682
205.4966,0.199759
206.9114,0.201458
208.3263,0.206563
209.7411,0.205506
211.1559,0.201034
212.5707,0.202531
213.9855,0.205278
215.4003,0.200589
216.8151,0.194601
218.2299,0.195231
219.6447,0.194922
221.0596,0.187304
222.4744,0.180627
223.8892,0.180408
225.3040,0.178029
226.7188,0.169342
228.1336,0.163060
229.5484,0.163018
230.9632,0.160368
232.3780,0.151972
233.7929,0.146796
235.2077,0.147750
236.6225,0.145388
238.0373,0.137359
239.4521,0.133101
240.8669,0.134531
242.2817,0.132116
243.6965,0.124422
245.1113,0.120616
246.5262,0.122315
247.9410,0.120765
249.3558,0.114356
250.7706,0.111636
252.1854,0.115084
253.6002,0.116214
255.0150,0.112310
256.4298,0.111587
257.8446,0.117427
259.2595,0.121578
260.6743,0.120259
262.0891,0.120393
263.5039,0.126594
264.9187,0.132748
266.3335,0.133450
267.7483,0.132659
269.1631,0.136867
270.5779,0.143716
271.9928,0.146244
273.4076,0.144617
274.8224,0.145483
276.2372,0.150684
277.6520,0.154654
279.0668,0.153840
280.4816,0.151244
281.8964,0.151816
283.3112,0.155247
284.7260,0.156128
286.1409,0.152058
287.5557,0.147585
288.9705,0.147138
290.3853,0.147924
291.8001,0.145459
293.2149,0.139978
294.6297,0.134702
296.0445,0.132161
297.4593,0.131631
298.8742,0.129223
300.2890,0.123292
301.7038,0.117635
303.1186,0.115485
304.5334,0.114558
305.9482,0.112010
307.3630,0.107645
308.7778,0.102424
310.1926,0.098342
311.6075,0.096431
313.0223,0.094167
314.4371,0.089402
315.8519,0.083491
317.2667,0.078090
318.6815,0.073324
320.0963,0.069115
321.5111,0.064524
322.9259,0.058497
324.3408,0.052108
325.7556,0.046563
327.1704,0.041415
328.5852,0.036784
329.0712,0.036211
330.0000,0.033164
