z_mm,p_abs_Pa
100.6909,0.041330
101.9509,0.028047
103.2108,0.017191
104.4708,0.011721
105.7307,0.005600
106.9906,0.016525
108.2506,0.023815
109.5105,0.030963
110.7705,0.045293
112.0304,0.054907
113.2903,0.056815
114.5503,0.063512
115.8102,0.072676
117.0702,0.072351
118.3301,0.069616
119.5900,0.074051
120.8500,0.073750
122.1099,0.064951
123.3699,0.061713
124.6298,0.061233
125.8897,0.050922
127.1497,0.040599
128.4096,0.039065
129.6696,0.030830
130.9295,0.022162
132.1894,0.030377
133.4494,0.034440
134.7093,0.042124
135.9693,0.060879
137.2292,0.073423
138.4891,0.082480
139.7491,0.100964
141.0090,0.118461
142.2690,0.127187
143.5289,0.140032
144.7888,0.158740
146.0488,0.169304
147.3087,0.175415
148.5687,0.189336
149.8286,0.202063
151.0885,0.204966
152.3485,0.210326
153.6084,0.222235
154.8684,0.226696
156.1283,0.225357
157.3882,0.232008
158.6482,0.239470
159.9081,0.236776
161.1681,0.235382
162.4280,0.241929
163.6879,0.241792
164.9479,0.233863
166.2078,0.233238
167.4678,0.234997
168.7277,0.225846
169.9876,0.215811
171.2476,0.214848
172.5075,0.208983
173.7675,0.194131
175.0274,0.186309
176.2873,0.183737
177.5473,0.171522
178.8072,0.158008
180.0672,0.155659
181.3271,0.150987
182.5870,0.138226
183.8470,0.134045
185.1069,0.137039
186.3669,0.131274
187.6268,0.125483
188.8867,0.131652
190.1467,0.134742
191.4066,0.129750
192.6666,0.133628
193.9265,0.143836
195.1864,0.144780
196.4464,0.145700
197.7063,0.158826
198.9663,0.169764
200.2262,0.172286
201.4861,0.182277
202.7461,0.200056
204.0060,0.209396
205.2660,0.214069
206.5259,0.228410
207.7858,0.244423
209.0458,0.249762
210.3057,0.254245
211.5657,0.268233
212.8256,0.279775
214.0855,0.280897
215.3455,0.284590
216.6054,0.297207
217.8654,0.304685
219.1253,0.302952
220.3852,0.306694
221.6452,0.318273
222.9051,0.322673
224.1651,0.319471
225.4250,0.323646
226.6849,0.334069
227.9449,0.336157
229.2048,0.332032
230.4647,0.335791
231.7247,0.344564
232.9846,0.344674
234.2446,0.338925
235.5045,0.340885
236.7644,0.347695
238.0244,0.345777
239.2843,0.337764
240.5443,0.337638
241.8042,0.342894
243.0641,0.339774
244.3241,0.330705
245.5840,0.329466
246.8440,0.334266
248.1039,0.332207
249.3638,0.324102
250.6238,0.322225
251.8837,0.327607
253.1437,0.328589
254.4036,0.322036
255.6635,0.319007
256.9235,0.324976
258.1834,0.328944
259.4434,0.323719
260.7033,0.319155
261.9632,0.323939
263.2232,0.329321
264.4831,0.326022
265.7431,0.319831
267.0030,0.320493
268.2629,0.325391
269.5229,0.324882
270.7828,0.317657
272.0428,0.312680
273.3027,0.315085
274.5626,0.317200
275.8226,0.311490
277.0825,0.303113
278.3425,0.301406
279.6024,0.304568
280.8623,0.303678
282.1223,0.296877
283.3822,0.291325
284.6422,0.292586
285.9021,0.296287
287.1620,0.294839
288.4220,0.288722
289.6819,0.285453
290.9419,0.287998
292.2018,0.290808
293.4617,0.288564
294.7217,0.282628
295.9816,0.278711
297.2416,0.279573
298.5015,0.281050
299.7614,0.277814
301.0214,0.270797
302.2813,0.265385
303.5413,0.263802
304.8012,0.263175
306.0611,0.259868
307.3211,0.253018
308.5810,0.245385
309.8410,0.240478
311.1009,0.237839
312.3608,0.233895
313.6208,0.226905
314.8807,0.218148
316.1407,0.209869
317.4006,0.203339
318.6605,0.197547
319.9205,0.190433
321.1804,0.181590
322.4404,0.172065
323.7003,0.162806
324.9602,0.154580
326.2202,0.147154
327.4801,0.139212
328.7401,0.130973
329.1858,0.126643
330.0000,0.123573
